ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
322,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
323,53,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
324,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
325,39,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
326,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
327,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
328,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
329,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
330,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
331,29,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
332,30,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
333,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
334,45,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
335,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
336,31,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
337,42,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
338,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
339,48,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
340,43,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
341,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
342,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
343,61,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
344,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
345,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
346,62,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
347,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
348,37,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
349,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
350,47,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
351,42,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
352,54,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
353,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
354,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
355,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
356,38,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
357,38,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
358,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
359,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
360,23,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
361,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
362,23,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
363,32,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
364,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
365,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
366,62,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
367,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
368,30,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
369,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
370,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
371,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
372,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
373,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
374,54,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
375,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
376,61,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
377,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
378,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
379,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
380,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
381,38,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
382,43,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
383,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
384,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
385,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
386,36,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
387,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
388,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
